date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:03:01	62927/62927	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2028%20Jun%202014%2022:14:12%20GMT	http://nit-it.com/locanda/bootstrap/fonts/glyphicons-halflings-regular.svg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://nit-it.com/locanda/bootstrap/css/bootstrap.min.css)
20:03:01	78/78	---M--	200	added ('OK')	image/gif	date:Wed,%2025%20Jul%202012%2022:47:46%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_select.gif	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_select.gif	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:01	23320/23320	---M--	200	added ('OK')	text/plain	date:Sat,%2028%20Jun%202014%2022:14:12%20GMT	http://nit-it.com/locanda/bootstrap/fonts/glyphicons-halflings-regular.woff	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://nit-it.com/locanda/bootstrap/css/bootstrap.min.css)
20:03:02	10355/10355	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:44%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_overlay.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_overlay.png	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:02	86/86	---M--	200	added ('OK')	image/gif	date:Wed,%2025%20Jul%202012%2022:47:42%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_indic.gif	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_indic.gif	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:02	532/532	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:42%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_hex.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_hex.png	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:02	41280/41280	---M--	200	added ('OK')	text/plain	date:Sat,%2028%20Jun%202014%2022:14:12%20GMT	http://nit-it.com/locanda/bootstrap/fonts/glyphicons-halflings-regular.ttf	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://nit-it.com/locanda/bootstrap/css/bootstrap.min.css)
20:03:02	1066/1066	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:44%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_rgb_r.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_rgb_r.png	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:03	1069/1069	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:44%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_rgb_g.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_rgb_g.png	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:03	970/970	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:44%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_rgb_b.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_rgb_b.png	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:03	1012/1012	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:42%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_hsb_h.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_hsb_h.png	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:04	1171/1171	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:42%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_hsb_s.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_hsb_s.png	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:04	970/970	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:42%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_hsb_b.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_hsb_b.png	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:04	984/984	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:46%20GMT	http://nit-it.com/locanda/images/colorpicker/colorpicker_submit.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/colorpicker_submit.png	(from http://nit-it.com/locanda/css/colorpicker.css)
20:03:05	4985/4985	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202012%2022:47:46%20GMT	http://nit-it.com/locanda/images/colorpicker/select2.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/colorpicker/select2.png	(from http://nit-it.com/locanda/css/style-switcher.css)
20:03:05	350/350	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202015%2016:33:05%20GMT	http://nit-it.com/locanda/images/pattern-pixel.html	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/pattern-pixel.html	(from http://nit-it.com/locanda/css/style-switcher.css)
20:03:06	3097/3097	---M--	200	added ('OK')	image/png	date:Fri,%2026%20Sep%202014%2004:42:46%20GMT	http://nit-it.com/locanda/images/select-bg.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/select-bg.png	(from http://nit-it.com/locanda/css/style.css)
20:03:07	3963/3963	---M--	200	added ('OK')	image/png	date:Tue,%2007%20Oct%202014%2006:36:58%20GMT	http://nit-it.com/locanda/images/address_bg.png	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/images/address_bg.png	(from http://nit-it.com/locanda/css/style.css)
20:03:07	354/354	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202015%2016:33:07%20GMT	http://nit-it.com/locanda/css/fonts/flexslider-icon.eot	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/fonts/flexslider-icon.56.delayed	(from http://nit-it.com/locanda/css/flexslider.css)
20:03:08	354/354	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202015%2016:33:07%20GMT	http://nit-it.com/locanda/css/fonts/flexslider-icon.eot?	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/fonts/flexslider-icond41d.eot	(from http://nit-it.com/locanda/css/flexslider.css)
20:03:08	355/355	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202015%2016:33:08%20GMT	http://nit-it.com/locanda/css/fonts/flexslider-icon.woff	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/fonts/flexslider-icon.woff	(from http://nit-it.com/locanda/css/flexslider.css)
20:03:08	354/354	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202015%2016:33:08%20GMT	http://nit-it.com/locanda/css/fonts/flexslider-icon.ttf	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/fonts/flexslider-icon.ttf	(from http://nit-it.com/locanda/css/flexslider.css)
20:03:09	354/354	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jan%202015%2016:33:08%20GMT	http://nit-it.com/locanda/css/fonts/flexslider-icon.svg	C:/Users/bagh/Documents/Website%20Ripper%20Copier/Hotel2/nit-it.com/locanda/css/fonts/flexslider-icon.svg	(from http://nit-it.com/locanda/css/flexslider.css)
